,collegeName,country,dateOfBirthUTC,draft_pickNum,draft_roundNum,draft_seasonYear,draft_teamId,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,weightKilograms,weightPounds,yearsPro
465,Miami (FL),USA,1998-12-14,18,1,2018,1610612759,Lonnie,6,5,1.96,True,1,University of Miami/USA,Walker IV,2018,1629022,G,1610612759,93.0,205,0
466,Kentucky,USA,1990-09-06,1,1,2010,1610612764,John,6,4,1.93,True,2,Kentucky/USA,Wall,2010,202322,G,1610612764,95.3,210,8
467,California,USA,1994-06-10,60,2,2016,1610612762,Tyrone,6,5,1.96,True,9,California/USA,Wallace,2017,1627820,G,1610612746,89.8,198,1
468,Pittsburgh,USA,1989-07-25,,,,,Brad,6,4,1.93,True,9,Pittsburgh/USA,Wanamaker,2018,202954,G,1610612738,95.3,210,0
469,North Carolina State,USA,1993-09-05,14,1,2014,1610612756,T.J.,6,8,2.03,True,12,North Carolina State/USA,Warren,2014,203933,F,1610612756,97.5,215,4
470,Texas-El Paso,USA,1991-12-18,,,,,Julian,6,8,2.03,True,4,Texas-El Paso/USA,Washburn,,1627395,F-G,1610612763,94.8,209,0
471,George Washington,Japan,1994-10-13,,,,,Yuta,6,9,2.06,True,12,George Washington/Japan,Watanabe,2018,1629139,G,1610612763,93.0,205,0
472,California-Los Angeles,USA,1996-02-03,58,2,2018,1610612743,Thomas,7,0,2.13,True,45, USA/USA,Welsh,2018,1629118,C,1610612743,115.7,255,0
473,UCLA,USA,1988-11-12,4,1,2008,1610612760,Russell,6,3,1.9,True,0,UCLA/USA,Westbrook,2008,201566,G,1610612760,90.7,200,10
474,Colorado,USA,1994-07-02,29,1,2017,1610612759,Derrick,6,4,1.93,True,4,Colorado/USA,White,2017,1628401,G,1610612759,86.2,190,1
475,Seton Hall,USA,1995-03-08,42,2,2016,1610612751,Isaiah,6,4,1.93,True,12,Seton Hall/USA,Whitehead,2016,1627785,G,1610612765,96.6,213,2
476,Marshall,USA,1989-06-13,33,2,2010,1610612758,Hassan,7,0,2.13,True,21,MarshallUSA/USA,Whiteside,2010,202355,C,1610612748,120.2,265,6
477,Kansas,Canada,1995-02-23,1,1,2014,1610612739,Andrew,6,8,2.03,True,22,Kansas/Canada,Wiggins,2014,203952,F-G,1610612750,88.0,194,4
478,California-Santa Barbara,USA,1993-01-28,,,,,Alan,6,8,2.03,True,15,California-Santa Barbara/USA,Williams,2015,1626210,F-C,1610612751,120.2,265,3
479,North Carolina State,USA,1990-02-06,,,,,C.J.,6,5,1.96,True,12,North Carolina State/USA,Williams,2017,203710,G,1610612750,102.5,226,1
480,Gonzaga,USA,1995-05-22,,,,,Johnathan,6,9,2.06,True,19,Gonzaga/USA,Williams,2018,1629140,F,1610612747,103.4,228,0
481,,USA,1994-12-02,,,,,Kenrich,6,7,2.01,True,34, USA/USA,Williams,2018,1629026,G-F,1610612740,95.3,210,0
482,South Gwinnett HS (GA),USA,1986-10-27,45,2,2005,1610612755,Lou,6,1,1.85,True,23,"South Gwinnett HS (Snellville, GA)/USA",Williams,2005,101150,G,1610612746,79.4,175,13
483,North Carolina,USA,1986-06-19,2,1,2005,1610612737,Marvin,6,9,2.06,True,2,North CarolinaUSA/USA,Williams,2005,101107,F,1610612766,107.5,237,13
484,Indiana,USA,1994-12-30,,,,,Troy,6,7,2.01,True,19,Indiana/USA,Williams,2016,1627786,F,1610612758,98.9,218,2
485,Texas A&M,USA,1997-10-17,27,1,2018,1610612738,Robert,6,10,2.08,True,44,Texas A&M University/USA,Williams III,2018,1629057,C-F,1610612738,108.9,240,0
486,Michigan,USA,1996-02-19,17,1,2017,1610612749,D.J.,6,10,2.08,True,5,Michigan/USA,Wilson,2017,1628391,F,1610612749,104.8,231,1
487,Duke,USA,1996-03-26,10,1,2015,1610612748,Justise,6,7,2.01,True,20,Duke/USA,Winslow,2015,1626159,F,1610612748,102.1,225,3
488,Nevada-Las Vegas,USA,1995-09-27,,,,,Christian,6,10,2.08,True,35,Nevada-Las Vegas/USA,Wood,2015,1626174,F,1610612749,97.1,214,2
489,Utah,USA,1992-04-26,20,1,2015,1610612761,Delon,6,5,1.96,True,55,Utah/USA,Wright,2015,1626153,G,1610612761,83.0,183,3
490,,France,1995-12-17,16,1,2016,1610612738,Guerschon,6,8,2.03,True,30,France/France,Yabusele,2017,1627824,F,1610612738,117.9,260,1
491,Georgia Tech,USA,1988-06-21,12,1,2007,1610612755,Thaddeus,6,8,2.03,True,21,Georgia Tech/USA,Young,2007,201152,F,1610612754,100.2,221,11
492,Oklahoma,USA,1998-09-19,5,1,2018,1610612742,Trae,6,2,1.88,True,11,University of Oklahoma/USA,Young,2018,1629027,G,1610612737,81.6,180,0
