,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,game_type
90,42016,1610612745,HOU,Houston Rockets,0041600231,2017-05-01,HOU @ SAS,W,240,40,87,0.46,22,50,0.44,24,27,0.889,7,42,49,30,13,5,15,25,126,27,2,Playoffs
91,42016,1610612759,SAS,San Antonio Spurs,0041600231,2017-05-01,SAS vs. HOU,L,240,31,84,0.369,9,29,0.31,28,36,0.778,11,34,45,19,10,2,15,18,99,-27,2,Playoffs
92,42016,1610612761,TOR,Toronto Raptors,0041600211,2017-05-01,TOR @ CLE,L,240,39,89,0.438,10,26,0.385,17,20,0.85,8,35,43,22,5,5,12,22,105,-11,1,Playoffs
93,42016,1610612739,CLE,Cleveland Cavaliers,0041600211,2017-05-01,CLE vs. TOR,W,240,39,85,0.459,14,34,0.412,24,29,0.828,7,39,46,26,8,4,12,18,116,11,1,Playoffs
94,42016,1610612744,GSW,Golden State Warriors,0041600221,2017-05-02,GSW vs. UTA,W,240,40,82,0.488,7,29,0.241,19,21,0.905,5,32,37,32,7,8,7,16,106,12,1,Playoffs
95,42016,1610612762,UTA,Utah Jazz,0041600221,2017-05-02,UTA @ GSW,L,240,38,82,0.463,9,29,0.31,9,12,0.75,8,36,44,25,7,4,14,18,94,-12,1,Playoffs
96,42016,1610612764,WAS,Washington Wizards,0041600202,2017-05-02,WAS @ BOS,L,265,46,99,0.465,10,34,0.294,17,22,0.773,13,31,44,28,7,10,18,29,119,-10,1,Playoffs
97,42016,1610612738,BOS,Boston Celtics,0041600202,2017-05-02,BOS vs. WAS,W,265,45,88,0.511,13,36,0.361,26,34,0.765,12,29,41,26,11,7,16,21,129,10,1,Playoffs
98,42016,1610612745,HOU,Houston Rockets,0041600232,2017-05-03,HOU @ SAS,L,240,37,83,0.446,11,34,0.324,11,15,0.733,9,23,32,22,7,3,11,18,96,-25,1,Playoffs
99,42016,1610612759,SAS,San Antonio Spurs,0041600232,2017-05-03,SAS vs. HOU,W,240,48,89,0.539,9,24,0.375,16,18,0.889,16,32,48,27,5,7,8,16,121,25,1,Playoffs
